titulo,descricao,data_lancamento,link_amazon
Carrie,Uma jovem com poderes telecinéticos se vinga de seus colegas de escola.,1974-04-05,https://www.amazon.com.br/dp/8556510412
O Iluminado,Um escritor e sua família ficam isolados em um hotel assombrado durante o inverno.,1977-01-28,https://www.amazon.com.br/dp/8556510420
A Zona Morta,Após sair de um coma um homem descobre que pode ver o futuro e o passado das pessoas que toca.,1979-08-30,https://www.amazon.com.br/dp/8556510439
It: A Coisa,Um grupo de crianças enfrenta uma entidade maligna que assume a forma de seus maiores medos.,1986-09-15,https://www.amazon.com.br/dp/8560280944
Misery,Um escritor famoso é resgatado de um acidente de carro por sua fã número um que se revela uma psicopata.,1987-06-08,https://www.amazon.com.br/dp/8556510528
O Cemitério,Uma família se muda para uma casa perto de um antigo cemitério indígena com o poder de ressuscitar os mortos.,1983-11-14,https://www.amazon.com.br/dp/8556510404
A Torre Negra: O Pistoleiro,O início da jornada do pistoleiro Roland Deschain em busca da Torre Negra.,1982-06-10,https://www.amazon.com.br/dp/858105292X
A Dança da Morte,Um vírus mortal dizima a maior parte da população mundial e os sobreviventes se dividem em uma luta entre o bem e o mal.,1978-10-03,https://www.amazon.com.br/dp/8556510447
Sob a Redoma,Uma cidade pequena é subitamente isolada do resto do mundo por uma cúpula transparente e impenetrável.,2009-11-10,https://www.amazon.com.br/dp/8560280731
Novembro de 63,Um professor de inglês viaja no tempo para tentar impedir o assassinato de John F. Kennedy.,2011-11-08,https://www.amazon.com.br/dp/8560280871
